ASX listed companies as at Tue Oct 20 14:26:38 EST 2015

Company name,ASX code,GICS industry group
"CATALYST METALS LIMITED",CYL,"Materials"
"CATAPULT GROUP INTERNATIONAL LTD",CAT,"Technology Hardware & Equipment"
"CAULDRON ENERGY LIMITED",CXU,"Energy"
"CAZALY RESOURCES LIMITED",CAZ,"Materials"
"CB AUSTRALIA LIMITED",CBK,"Software & Services"
"CBG CAPITAL LIMITED",CBC,"Not Applic"
"CBL CORPORATION LIMITED",CBL,"Insurance"
"CEDAR WOODS PROPERTIES LIMITED",CWP,"Real Estate"
"CELAMIN HOLDINGS NL",CNL,"Materials"
"CELLMID LIMITED",CDY,"Pharmaceuticals & Biotechnology"
"CELLNET GROUP LIMITED",CLT,"Technology Hardware & Equipment"
"CELSIUS COAL LIMITED",CLA,"Materials"
"CENTAURUS METALS LIMITED",CTM,"Materials"
"CENTRAL ASIA RESOURCES LIMITED.",CVR,"Materials"
"CENTRAL PETROLEUM LIMITED",CTP,"Energy"
"CENTREPOINT ALLIANCE LIMITED",CAF,"Diversified Financials"
"CENTREX METALS LIMITED",CXM,"Materials"
"CENTURIA CAPITAL LIMITED",CNI,"Diversified Financials"
"CENTURIA METROPOLITAN REIT",CMA,"Real Estate"
"CENTURY AUSTRALIA INVESTMENTS LIMITED",CYA,"Diversified Financials"
"CERAMIC FUEL CELLS LIMITED",CFU,"Capital Goods"
"CERVANTES CORPORATION LIMITED",CVS,"Food, Beverage & Tobacco"
"CHALICE GOLD MINES LIMITED",CHN,"Materials"
"CHALLENGER ENERGY LIMITED",CEL,"Energy"
"CHALLENGER LIMITED",CGF,"Diversified Financials"
"CHALLENGER MILLENNIUM SERIES 2007-1E TRUST",CHJ,"Not Applic"
"CHALLENGER MILLENNIUM SERIES 2007-2L TRUST",CHU,"Not Applic"
"CHALMERS LIMITED",CHR,"Transportation"
"CHAMPION IRON LIMITED",CIA,"Materials"
"CHAPMANS LIMITED",CHP,"Diversified Financials"
"CHARTER HALL GROUP",CHC,"Real Estate"
"CHARTER HALL RETAIL REIT",CQR,"Real Estate"
"CHARTER PACIFIC CORPORATION LIMITED",CHF,"Diversified Financials"
"CHESSER RESOURCES LIMITED",CHZ,"Materials"
"CHINA CONSTRUCTION BANK CORPORATION",CCB,"Not Applic"
"CHINA INTEGRATED MEDIA CORPORATION LIMITED",CIK,"Media"
"CHINA MAGNESIUM CORPORATION LIMITED",CMC,"Materials"
"CHINA WASTE CORPORATION LIMITED",CWC,"Materials"
"CHINALCO YUNNAN COPPER RESOURCES LTD",CYU,"Materials"
"CHONGHERR INVESTMENTS LTD",CDH,"Materials"
"CHORUS LIMITED",CNU,"Telecommunication Services"
"CHRYSALIS RESOURCES LIMITED",CYS,"Materials"
"CI RESOURCES LIMITED",CII,"Materials"
"CIMIC GROUP LIMITED",CIM,"Capital Goods"
"CIRCADIAN TECHNOLOGIES LIMITED",CIR,"Pharmaceuticals & Biotechnology"
"CIRRUS NETWORKS HOLDINGS LIMITED",CNW,"Software & Services"
"CITATION RESOURCES LTD",CTR,"Energy"
"CITIGOLD CORPORATION LIMITED",CTO,"Materials"
"CLANCY EXPLORATION LIMITED",CLY,"Materials"
"CLARITY OSS LIMITED",CYO,"Software & Services"
"CLARIUS GROUP LIMITED",CND,"Commercial Services & Supplies"
"CLASSIC MINERALS LTD",CLZ,"Materials"
"CLEAN SEAS TUNA LIMITED",CSS,"Food, Beverage & Tobacco"
"CLEAN TEQ HOLDINGS LIMITED",CLQ,"Commercial Services & Supplies"
"CLEARVIEW WEALTH LIMITED",CVW,"Insurance"
"CLEVELAND MINING COMPANY LIMITED",CDG,"Materials"
"CLIME CAPITAL LIMITED",CAM,"Not Applic"
"CLIME INVESTMENT MANAGEMENT LTD",CIW,"Diversified Financials"
"CLINUVEL PHARMACEUTICALS LIMITED",CUV,"Pharmaceuticals & Biotechnology"
"CLOVER CORPORATION LIMITED",CLV,"Health Care Equipment & Services"
"CMI LIMITED.",CMI,"Capital Goods"
"CML GROUP LIMITED",CGR,"Commercial Services & Supplies"
"COAL OF AFRICA LIMITED",CZA,"Energy"
"COALBANK LIMITED",CBQ,"Energy"
"COATS GROUP PLC",CGW,"Consumer Durables & Apparel"
"COCA-COLA AMATIL LIMITED",CCL,"Food, Beverage & Tobacco"
"COCHLEAR LIMITED",COH,"Health Care Equipment & Services"
"COCKATOO COAL LIMITED",COK,"Energy"
"CODAN LIMITED",CDA,"Technology Hardware & Equipment"
"COFFEY INTERNATIONAL LIMITED",COF,"Commercial Services & Supplies"
"COGSTATE LTD",CGS,"Health Care Equipment & Services"
"COHIBA MINERALS LIMITED",CHK,"Materials"
"COKAL LIMITED",CKA,"Materials"
"COLLABORATE CORPORATION LIMITED",CL8,"Software & Services"
"COLLECTION HOUSE LIMITED",CLH,"Commercial Services & Supplies"
"COLLINS FOODS LIMITED",CKF,"Consumer Services"
"COLONIAL HOLDING COMPANY LIMITED",CNG,"Diversified Financials"
"COLORPAK LIMITED",CKL,"Materials"
"COMET RESOURCES LIMITED",CRL,"Materials"
"COMET RIDGE LIMITED",COI,"Energy"
"COMMONWEALTH BANK OF AUSTRALIA.",CBA,"Banks"
"COMOPS LIMITED",COM,"Software & Services"
"COMPAGNIE DE FINANCEMENT FONCIER",CFF,"Not Applic"
"COMPUMEDICS LIMITED",CMP,"Health Care Equipment & Services"
"COMPUTERSHARE LIMITED.",CPU,"Software & Services"
"COMPUTRONICS HOLDINGS LIMITED",CPS,"Technology Hardware & Equipment"
"CONDOR BLANCO MINES LIMITED",CDB,"Materials"
"CONDOTO PLATINUM NL.",CPD,"Materials"
"CONICO LTD",CNJ,"Materials"
"CONNEXION MEDIA LIMITED",CXZ,"Commercial Services & Supplies"
"CONQUEST AGRI LIMITED",CQA,"Not Applic"
"CONSOLIDATED TIN MINES LIMITED",CSD,"Materials"
"CONSOLIDATED ZINC LIMITED",CZL,"Energy"
"CONTACT ENERGY LIMITED",CEN,"Utilities"
"CONTANGO INCOME GENERATOR  LIMITED",CIE,"Not Applic"
"CONTANGO MICROCAP LIMITED",CTN,"Diversified Financials"
"CONTINENTAL COAL LIMITED",CCC,"Energy"
"CONTINUATION INVESTMENTS LIMITED",COT,"Diversified Financials"
"CONVERGENT MINERALS LIMITED",CVG,"Materials"
"COOPER ENERGY LIMITED",COE,"Energy"
"COPPER STRIKE LIMITED",CSE,"Materials"
"COPPERMOLY LIMITED",COY,"Materials"
"CORAZON MINING LIMITED",CZN,"Materials"
"CORE EXPLORATION LIMITED",CXO,"Materials"
"CORPORATE TRAVEL MANAGEMENT LIMITED",CTD,"Consumer Services"
"CORUM GROUP LIMITED",COO,"Software & Services"
"COSTA GROUP HOLDINGS LIMITED",CGC,"Food, Beverage & Tobacco"
"COTT OIL AND GAS LIMITED",CMT,"Energy"
"COUGAR METALS NL",CGM,"Materials"
"COUNTPLUS LIMITED",CUP,"Commercial Services & Supplies"
"COUNTY COAL LIMITED",CCJ,"Energy"
"COVATA LIMITED",CVT,"Software & Services"
"COVE RESOURCES LIMITED",CVE,"Materials"
"COVENTRY GROUP LIMITED",CYG,"Capital Goods"
"COVENTRY RESOURCES INC",CYY,"Materials"
"COVER-MORE GROUP LIMITED",CVO,"Insurance"
"COZIRON RESOURCES LIMITED",CZR,"Materials"
"CPT GLOBAL LIMITED",CGO,"Software & Services"
"CRADLE RESOURCES LIMITED",CXX,"Materials"
"CRATER GOLD MINING LIMITED",CGN,"Materials"
"CREDIT CORP GROUP LIMITED",CCP,"Commercial Services & Supplies"
"CREDO RESOURCES LIMITED",CRQ,"Materials"
"CREST MINERALS LIMITED",CTT,"Materials"
"CRESTAL PETROLEUM LIMITED",CRX,"Materials"
"CROMWELL PROPERTY GROUP",CMW,"Real Estate"
"CROSSLAND STRATEGIC METALS LTD",CUX,"Materials"
"CROWD MOBILE LIMITED",CM8,"Media"
"CROWN RESORTS LIMITED",CWN,"Consumer Services"
"CRUSADE ABS SERIES 2012-1 TRUST",CRI,"Not Applic"
"CRUSADE ABS SERIES 2013-1 TRUST",CUF,"Not Applic"
"CRUSADE ABS SERIES 2015-1 TRUST",CUH,"Not Applic"
"CRUSADE EURO TRUST NO. 1E OF 2006",CTK,"Not Applic"
"CRUSADE EURO TRUST NO.1E OF 2007",CSN,"Not Applic"
"CRUSADE GLOBAL TRUST NO. 2 OF 2006",CTU,"Not Applic"
"CRUSADE GLOBAL TRUST NO.1 OF 2007",CTH,"Not Applic"
"CRUSADER RESOURCES LIMITED",CAS,"Materials"
"CRYOSITE LIMITED",CTE,"Pharmaceuticals & Biotechnology"
"CSG LIMITED",CSV,"Software & Services"
"CSL LIMITED",CSL,"Pharmaceuticals & Biotechnology"
"CSR LIMITED",CSR,"Materials"
"CTI LOGISTICS LIMITED",CLX,"Transportation"
"CUDECO LIMITED",CDU,"Materials"
"CUE ENERGY RESOURCES LIMITED",CUE,"Energy"
"CUESTA COAL LIMITED",CQC,"Energy"
"CULLEN RESOURCES LIMITED",CUL,"Materials"
"CV CHECK LTD",CV1,"Software & Services"
"CVC LIMITED",CVC,"Diversified Financials"
"CWH RESOURCES LTD",CWH,"Materials"
"CYCLOPHARM LIMITED",CYC,"Health Care Equipment & Services"
"CYNATA THERAPEUTICS LIMITED",CYP,"Pharmaceuticals & Biotechnology"
"DACIAN GOLD LIMITED",DCN,"Materials"
"DAKOTA MINERALS LIMITED",DKO,"Materials"
"DAMPIER GOLD LIMITED",DAU,"Materials"
"DANAKALI LIMITED",DNK,"Materials"
"DART MINING NL",DTM,"Materials"
"DATA#3 LIMITED",DTL,"Software & Services"
"DATADOT TECHNOLOGY LIMITED",DDT,"Automobiles & Components"
"DATELINE RESOURCES LIMITED",DTR,"Materials"
"DE GREY MINING LIMITED",DEG,"Materials"
"DECIMAL SOFTWARE LIMITED",DSX,"Software & Services"
"DECMIL GROUP LIMITED",DCG,"Capital Goods"
"DEEP YELLOW LIMITED",DYL,"Energy"
"DELECTA LIMITED",DLC,"Retailing"
"DELTA SBD LIMITED",DSB,"Capital Goods"
"DEMPSEY MINERALS LIMITED",DMI,"Materials"
"DESANE GROUP HOLDINGS LIMITED",DGH,"Real Estate"
"DEVINE LIMITED",DVN,"Real Estate"
"DEXUS PROPERTY GROUP",DXS,"Real Estate"
"DGO GOLD LIMITED",DGO,"Materials"
"DGR GLOBAL LIMITED",DGR,"Materials"
"DIATREME RESOURCES LIMITED",DRX,"Materials"
"DICK SMITH HOLDINGS LIMITED",DSH,"Retailing"
"DICKER DATA LIMITED",DDR,"Technology Hardware & Equipment"
"DIGITAL CC LIMITED",DCC,"Diversified Financials"
"DING SHENG XIN FINANCE CO. LIMITED",DXF,"Class Pend"
"DIPLOMA GROUP LIMITED",DGX,"Capital Goods"
"DIRECTMONEY LIMITED",DM1,"Diversified Financials"
"DISCOVERY AFRICA LIMITED",DAF,"Energy"
"DISRUPTIVE INVESTMENT GROUP LIMITED",DVI,"Consumer Services"
"DIVERSA LIMITED",DVA,"Diversified Financials"
"DIVERSIFIED UNITED INVESTMENT LIMITED",DUI,"Diversified Financials"
"DJERRIWARRH INVESTMENTS LIMITED",DJW,"Diversified Financials"
"DMY CAPITAL LIMITED",DMY,"Food, Beverage & Tobacco"
"DNB NOR BOLIGKREDITT AS",DBN,"Not Applic"
"DOME GOLD MINES LIMITED",DME,"Materials"
"DOMINO'S PIZZA ENTERPRISES LIMITED",DMP,"Consumer Services"
"DONACO INTERNATIONAL LIMITED",DNA,"Consumer Services"
"DONGFANG MODERN AGRICULTURE HOLDING GROUP LIMITED",DFM,"Food, Beverage & Tobacco"
"DORAY MINERALS LIMITED",DRM,"Materials"
"DORSAVI LTD",DVL,"Pharmaceuticals & Biotechnology"
"DOURADO RESOURCES LIMITED",DUO,"Materials"
"DOWNER EDI LIMITED",DOW,"Commercial Services & Supplies"
"DRAGON ENERGY LIMITED",DLE,"Materials"
"DRAGON MINING LIMITED",DRA,"Materials"
"DRAGON MOUNTAIN GOLD LIMITED",DMG,"Materials"
"DRAIG RESOURCES LIMITED",DRG,"Materials"
"DRAKE RESOURCES LIMITED",DRK,"Materials"
"DRILLSEARCH ENERGY LIMITED",DLS,"Energy"
"DRIVER AUSTRALIA ONE TRUST",DAO,"Not Applic"
"DRIVER AUSTRALIA TWO TRUST",DAQ,"Not Applic"
"DTI GROUP LTD",DTI,"Technology Hardware & Equipment"
"DUBBER CORPORATION LIMITED",DUB,"Software & Services"
"DUET GROUP",DUE,"Utilities"
"DUKETON MINING LIMITED",DKM,"Materials"
"DULUXGROUP LIMITED",DLX,"Materials"
"DWS LIMITED",DWS,"Software & Services"
"DYESOL LIMITED",DYE,"Semiconductors & Semiconductor Equipment"
"DYNASTY RESOURCES LIMITED",DMA,"Materials"
"E & A LIMITED",EAL,"Capital Goods"
"EAGLE NICKEL LIMITED",ENL,"Materials"
"EAST ENERGY RESOURCES LIMITED",EER,"Energy"
"EASTERN IRON LIMITED",EFE,"Materials"
"EASTON INVESTMENTS LIMITED",EAS,"Diversified Financials"
"EBET LIMITED",EBT,"Consumer Services"
"EBOS GROUP LIMITED",EBO,"Health Care Equipment & Services"
"ECARGO HOLDINGS LIMITED",ECG,"Commercial Services & Supplies"
"ECHO ENTERTAINMENT GROUP LIMITED",EGP,"Consumer Services"
"ECHO RESOURCES LIMITED",EAR,"Materials"
"ECHOICE LIMITED",ECO,"Banks"
"ECLIPSE METALS LIMITED.",EPM,"Energy"
"ECLIPX GROUP LIMITED",ECX,"Diversified Financials"
"EDEN ENERGY LIMITED",EDE,"Energy"
"ELANOR INVESTORS GROUP",ENN,"Consumer Services"
"ELDERS LIMITED",ELD,"Food, Beverage & Tobacco"
"ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED",EOS,"Capital Goods"
"ELEMENTAL MINERALS LIMITED",ELM,"Materials"
"ELEMENTOS LIMITED",ELT,"Materials"
"ELIXIR PETROLEUM LIMITED",EXR,"Energy"
"ELK PETROLEUM LIMITED",ELK,"Energy"
"ELLERSTON ASIAN INVESTMENTS LIMITED",EAI,"Not Applic"
"ELLERSTON GLOBAL INVESTMENTS LIMITED",EGI,"Not Applic"
"ELLEX MEDICAL LASERS LIMITED",ELX,"Health Care Equipment & Services"
"ELSMORE RESOURCES LTD",ELR,"Materials"
"ELYSIUM RESOURCES LIMITED",EYM,"Materials"
"EMBELTON LIMITED",EMB,"Capital Goods"
"EMECO HOLDINGS LIMITED",EHL,"Capital Goods"
"EMERALD RESOURCES NL",EMR,"Energy"
"EMERCHANTS LIMITED",EML,"Diversified Financials"
"EMERGENT RESOURCES LIMITED",EMG,"Materials"
"EMERGING MARKETS MASTERS FUND",EMF,"Not Applic"
"EMMERSON RESOURCES LIMITED",ERM,"Materials"
"EMPEROR RANGE GROUP LIMITED",ERX,"Materials"
"EMPIRE ENERGY GROUP LIMITED",EEG,"Energy"
"EMPIRE OIL & GAS NL",EGO,"Energy"
"EMPIRE RESOURCES LIMITED",ERL,"Materials"
"EMPIRED LTD",EPD,"Software & Services"
"EMU NL",EMU,"Materials"
"ENCOUNTER RESOURCES LIMITED",ENR,"Materials"
"ENDEAVOUR MINING CORPORATION",EVR,"Materials"
"ENEABBA GAS LIMITED",ENB,"Utilities"
"ENEGEX NL",ENX,"Not Applic"
"ENERGIA MINERALS LIMITED",EMX,"Energy"
"ENERGY ACTION LIMITED",EAX,"Commercial Services & Supplies"
"ENERGY DEVELOPMENTS LIMITED",ENE,"Utilities"
"ENERGY METALS LTD",EME,"Energy"
"ENERGY ONE LIMITED",EOL,"Software & Services"
"ENERGY RESOURCES OF AUSTRALIA LIMITED",ERA,"Energy"
"ENERGY TECHNOLOGIES LIMITED",EGY,"Capital Goods"
"ENERGY VENTURES LTD",EVE,"Energy"
"ENERGY WORLD CORPORATION LTD",EWC,"Utilities"
"ENERJI LTD",ERJ,"Utilities"
"ENERO GROUP LIMITED",EGG,"Media"
"ENGENCO LIMITED",EGN,"Capital Goods"
"ENHANCED OIL & GAS RECOVERY LIMITED",EOR,"Energy"
"ENICE HOLDING COMPANY LIMITED",ENC,"Class Pend"
"ENSOGO LIMITED",E88,"Retailing"
"ENSURANCE LTD",ENA,"Materials"
"ENTEK ENERGY LTD",ETE,"Energy"
"ENTERPRISE METALS LIMITED",ENT,"Materials"
"ENTERPRISE URANIUM LIMITED",ENU,"Energy"
"ENVERRO LTD",ERR,"Software & Services"
"ENVIROMISSION LIMITED",EVM,"Utilities"
"ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED",ESI,"Commercial Services & Supplies"
"ENVIRONMENTAL GROUP LIMITED (THE)",EGL,"Capital Goods"
"ENZUMO LIMITED",ENZ,"Software & Services"
"EPHRAIM RESOURCES LIMITED",EPA,"Not Applic"
"EQUATOR RESOURCES LTD",EQU,"Materials"
"EQUATORIAL RESOURCES LIMITED",EQX,"Materials"
"EQUITY TRUSTEES LIMITED",EQT,"Diversified Financials"
"EQUUS MINING LIMITED",EQE,"Materials"
"ERIN RESOURCES LIMITED",ERI,"Materials"
"ERM POWER LIMITED",EPW,"Utilities"
"ESERVGLOBAL LIMITED",ESV,"Software & Services"
"ESPERANCE MINERALS LIMITED",ESM,"Materials"
"ESTIA HEALTH LIMITED",EHE,"Health Care Equipment & Services"
"ESTRELLA RESOURCES LIMITED",ESR,"Materials"
"ETFS METAL SECURITIES AUSTRALIA LIMITED.",GOL,"Diversified Financials"
"ETHANE PIPELINE INCOME FUND",EPX,"Utilities"
"ETHERSTACK PLC",ESK,"Software & Services"
"EUMERALLA RESOURCES LIMITED",EUM,"Materials"
"EUMUNDI GROUP LIMITED",EBG,"Consumer Services"
"EUREKA GROUP HOLDINGS LIMITED",EGH,"Real Estate"
"EUROGOLD LIMITED",EUG,"Materials"
"EUROPEAN METALS HOLDINGS LIMITED",EMH,"Materials"
"EUROZ LIMITED",EZL,"Diversified Financials"
"EVOLUTION MINING LIMITED",EVN,"Materials"
"EVOLVE EDUCATION GROUP LIMITED",EVO,"Consumer Services"
"EVZ LIMITED",EVZ,"Capital Goods"
"EXALT RESOURCES LIMITED",ERD,"Materials"
"EXCALIBUR MINING CORPORATION LIMITED",EXM,"Materials"
"EXCELSIOR GOLD LIMITED",EXG,"Materials"
"EXOMA ENERGY LIMITED",EXE,"Energy"
"EXPLAURUM LIMITED",EXU,"Energy"
"EXTERRA RESOURCES LIMITED",EXC,"Materials"
"EZA CORPORATION LTD",EZA,"Commercial Services & Supplies"
"FAIRFAX MEDIA LIMITED",FXJ,"Media"
"FAIRSTAR RESOURCES LIMITED",FAS,"Materials"
"FALCON MINERALS LIMITED",FCN,"Materials"
"FANTASTIC HOLDINGS LIMITED",FAN,"Consumer Durables & Apparel"
"FAR LIMITED",FAR,"Energy"
"FARM PRIDE FOODS LIMITED",FRM,"Food, Beverage & Tobacco"
"FARMAFORCE LIMITED",FFC,"Class Pend"
"FATFISH INTERNET GROUP LTD",FFG,"Diversified Financials"
"FE LIMITED",FEL,"Materials"
"FEDERATION CENTRES",FDC,"Real Estate"
"FERROWEST LIMITED",FWL,"Materials"
"FERRUM CRESCENT LIMITED",FCR,"Materials"
"FERTOZ LIMITED",FTZ,"Materials"
"FFI HOLDINGS LIMITED",FFI,"Food, Beverage & Tobacco"
"FIDUCIAN GROUP LIMITED",FID,"Diversified Financials"
"FINBAR GROUP LIMITED",FRI,"Real Estate"
"FINDERS RESOURCES LIMITED",FND,"Materials"
"FIRESTONE ENERGY LIMITED",FSE,"Energy"
"FIRESTRIKE RESOURCES LIMITED",FIE,"Materials"
"FIRST GROWTH FUNDS LIMITED",FGF,"Not Applic"
"FIRSTMAC BOND SERIES 1C-2006 TRUST",FMN,"Not Applic"
"FIRSTMAC BOND SERIES 3-2005 TRUST",FMM,"Not Applic"
"FIRSTMAC MORTGAGE FUNDING TRUST SERIES 1-2007",FMA,"Not Applic"
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED",FPH,"Health Care Equipment & Services"
"FITGENES LIMITED",FIT,"Health Care Equipment & Services"
"FITZROY RESOURCES LIMITED",FRY,"Materials"
"FITZROY RIVER CORPORATION LTD",FZR,"Energy"
"FLAGSHIP INVESTMENTS LIMITED",FSI,"Diversified Financials"
"FLAT GLASS INDUSTRIES LIMITED",FGI,"Capital Goods"
"FLEETWOOD CORPORATION LIMITED",FWD,"Consumer Durables & Apparel"
"FLETCHER BUILDING LIMITED",FBU,"Materials"
"FLEXIGROUP LIMITED",FXL,"Diversified Financials"
"FLEXIROAM LIMITED",FRX,"Telecommunication Services"
"FLIGHT CENTRE TRAVEL GROUP LIMITED",FLT,"Consumer Services"
"FLINDERS MINES LIMITED",FMS,"Materials"
"FOCUS MINERALS LTD",FML,"Materials"
"FOLKESTONE EDUCATION TRUST",FET,"Real Estate"
"FOLKESTONE LIMITED",FLK,"Real Estate"
"FONTERRA SHAREHOLDERS' FUND",FSF,"Food, Beverage & Tobacco"
"FORTE CONSOLIDATED LIMITED",FRC,"Materials"
"FORTESCUE METALS GROUP LTD",FMG,"Materials"
"FOSSE MASTER ISSUER PLC",FOB,"Not Applic"
"FOX RESOURCES LIMITED",FXR,"Materials"
"FOY GROUP LIMITED",FOY,"Materials"
"FRANKLAND RIVER OLIVE COMPANY LIMITED",FLR,"Food, Beverage & Tobacco"
"FRASER RANGE METALS GROUP LTD",FRN,"Materials"
"FREEDOM FOODS GROUP LIMITED",FNP,"Food, Beverage & Tobacco"
"FREELANCER LIMITED",FLN,"Software & Services"
"FRESHTEL HOLDINGS LIMITED",FRE,"Telecommunication Services"
"FRONTIER CAPITAL GROUP LIMITED",FCG,"Commercial Services & Supplies"
"FRONTIER RESOURCES LIMITED",FNT,"Materials"
"FSA GROUP LIMITED",FSA,"Diversified Financials"
"FUNTASTIC LIMITED",FUN,"Retailing"
"FUTURE FIBRE TECHNOLOGIES LIMITED",FFT,"Technology Hardware & Equipment"
"FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED",FGG,"Not Applic"
"FUTURE GENERATION INVESTMENT COMPANY LIMITED",FGX,"Not Applic"
"FYI RESOURCES LIMITED",FYI,"Materials"
"G.U.D. HOLDINGS LIMITED",GUD,"Consumer Durables & Apparel"
"G8 EDUCATION LIMITED",GEM,"Consumer Services"
"GAGE ROADS BREWING CO LIMITED",GRB,"Food, Beverage & Tobacco"
"GALAXY RESOURCES LIMITED",GXY,"Materials"
"GALE PACIFIC LIMITED",GAP,"Consumer Durables & Apparel"
"GALICIA ENERGY CORPORATION LTD",GAL,"Energy"
"GALILEE ENERGY LIMITED",GLL,"Energy"
"GALILEO JAPAN TRUST",GJT,"Real Estate"
"GARDA DIVERSIFIED PROPERTY FUND",GDF,"Real Estate"
"GAS2GRID LIMITED",GGX,"Energy"
"GASCOYNE RESOURCES LIMITED",GCY,"Materials"
"GATEWAY LIFESTYLE GROUP",GTY,"Real Estate"
"GATEWAY MINING LIMITED",GML,"Materials"
"GAZAL CORPORATION LIMITED",GZL,"Consumer Durables & Apparel"
"GB ENERGY LIMITED",GBX,"Energy"
"GBM GOLD LTD",GBM,"Materials"
"GBM RESOURCES LIMITED",GBZ,"Materials"
"GBST HOLDINGS LIMITED",GBT,"Software & Services"
"GDI PROPERTY GROUP",GDI,"Real Estate"
"GENERA BIOSYSTEMS LIMITED",GBI,"Pharmaceuticals & Biotechnology"
"GENERAL MINING CORPORATION LIMITED",GMM,"Materials"
"GENERATION HEALTHCARE REIT",GHC,"Real Estate"
"GENESIS ENERGY LIMITED",GNE,"Utilities"
"GENESIS MINERALS LIMITED",GMD,"Materials"
"GENESIS RESOURCES LIMITED",GES,"Materials"
"GENETIC SIGNATURES LIMITED",GSS,"Pharmaceuticals & Biotechnology"
"GENETIC TECHNOLOGIES LIMITED",GTG,"Pharmaceuticals & Biotechnology"
"GENEX POWER LIMITED",GNX,"Utilities"
"GENTRACK GROUP LIMITED",GTK,"Software & Services"
"GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED",GMA,"Banks"
"GEODYNAMICS LIMITED",GDY,"Utilities"
"GEOPACIFIC RESOURCES LTD",GPR,"Materials"
"GI DYNAMICS, INC",GID,"Health Care Equipment & Services"
"GINDALBIE METALS LTD",GBG,"Materials"
"GLADIATOR RESOURCES LIMITED",GLA,"Materials"
"GLENEAGLE GOLD LIMITED",GLN,"Materials"
"GLENNON SMALL COMPANIES LIMITED",GC1,"Not Applic"
"GLG CORP LTD",GLE,"Consumer Durables & Apparel"
"GLOBAL CONSTRUCTION SERVICES LIMITED",GCS,"Capital Goods"
"GLOBAL FORTUNE INVESTMENT LIMITED",GFI,"Class Pend"
"GLOBAL GEOSCIENCE LIMITED",GSC,"Materials"
"GLOBAL GOLD HOLDINGS LIMITED",GGH,"Capital Goods"
"GLOBAL HEALTH LIMITED",GLH,"Health Care Equipment & Services"
"GLOBAL MASTERS FUND LIMITED",GFL,"Diversified Financials"
"GLOBAL METALS EXPLORATION NL",GXN,"Materials"
"GLOBAL PETROLEUM LIMITED",GBP,"Energy"
"GLOBAL RESOURCE MASTERS FUND LIMITED",GRF,"Diversified Financials"
"GLOBAL VALUE FUND LIMITED",GVF,"Not Applic"
"GLOBE INTERNATIONAL LIMITED",GLB,"Consumer Durables & Apparel"
"GLOBE METALS & MINING LIMITED",GBE,"Materials"
"GME RESOURCES LIMITED",GME,"Materials"
"GOCONNECT LIMITED",GCN,"Software & Services"
"GODFREYS GROUP LIMITED",GFY,"Retailing"
"GOLD MOUNTAIN LIMITED",GMN,"Materials"
"GOLD ROAD RESOURCES LIMITED",GOR,"Materials"
"GOLDEN CROSS RESOURCES LTD",GCR,"Materials"
"GOLDEN DEEPS LIMITED.",GED,"Materials"
"GOLDEN EAGLE MINING LTD",GEE,"Class Pend"
"GOLDEN RIM RESOURCES LTD",GMR,"Materials"
"GOLDFIELDS MONEY LIMITED",GMY,"Banks"
"GOLDPHYRE RESOURCES LIMITED",GPH,"Materials"
"GOLDSEARCH LIMITED",GSE,"Materials"
"GONDWANA RESOURCES LIMITED",GDA,"Materials"
"GOODMAN GROUP",GMG,"Real Estate"
"GOODMAN PLUS TRUST",GMP,"Not Applic"
"GOWING BROS LIMITED",GOW,"Diversified Financials"
"GPS ALLIANCE HOLDINGS LIMITED",GPS,"Real Estate"
"GPT GROUP",GPT,"Real Estate"
"GPT METRO OFFICE FUND",GMF,"Real Estate"
"GR ENGINEERING SERVICES LIMITED",GNG,"Capital Goods"
"GRAINCORP LIMITED",GNC,"Food, Beverage & Tobacco"
"GRAND GULF ENERGY LIMITED",GGE,"Energy"
"GRANDBRIDGE LIMITED",GBA,"Diversified Financials"
"GRANGE RESOURCES LIMITED.",GRR,"Materials"
"GRAYS ECOMMERCE GROUP LIMITED",GEG,"Software & Services"
"GREAT WESTERN EXPLORATION LIMITED.",GTE,"Materials"
"GREEN INVEST LIMITED",GNV,"Commercial Services & Supplies"
"GREENCROSS LIMITED",GXL,"Health Care Equipment & Services"
"GREENEARTH ENERGY LIMITED",GER,"Capital Goods"
"GREENLAND MINERALS AND ENERGY LIMITED",GGG,"Materials"
"GREENPOWER ENERGY LIMITED",GPP,"Energy"
"GREENVALE ENERGY NL",GRV,"Energy"
"GRG INTERNATIONAL LTD",GRG,"Capital Goods"
"GROWTHPOINT PROPERTIES AUSTRALIA",GOZ,"Real Estate"
"GRP CORPORATION LIMITED",GRP,"Diversified Financials"
"GRYPHON MINERALS LIMITED",GRY,"Materials"
"GTI RESOURCES LIMITED",GTR,"Materials"
"GUILDFORD COAL LIMITED",GUF,"Energy"
"GULF INDUSTRIALS LIMITED",GLF,"Materials"
"GULF MANGANESE CORPORATION LIMITED",GMC,"Materials"
"GULLEWA LIMITED",GUL,"Materials"
"GWA GROUP LIMITED.",GWA,"Capital Goods"
"GWR GROUP LIMITED",GWR,"Materials"
